"v_day","vp"
68,0
75,0
82,0
89,0
96,0.433333333333333
103,0.737430167597765
110,0.80530612244898
117,0.697208303507516
124,0.173333333333333
131,0.348977135980746
138,0.212543554006969
145,0.234029850746269
152,0.843696520250998
159,0.781553398058252
166,0.737820190858865
173,0.579387186629526
180,0.280645161290323
187,0.489481065918654
194,0.591098748261474
201,0.714791851195748
208,0.806576402321083
215,0.152238805970149
222,0.436197916666667
229,0.187403993855607
236,0.237967914438503
243,0.449507389162562
250,0.597392013039935
257,0.760869565217391
264,0.695928753180662
271,0.714069591527988
278,0.63677130044843
285,0.607223476297968
292,0.549212598425197
299,0.575829383886256
306,0.5
313,0.355555555555556
320,0.389261744966443
327,0.461538461538462
334,0.521276595744681
341,0.502016129032258
348,0.386013986013986
